Date,Amazon,Apple,Facebook,Google
03-01-2017,753.669983,29.0375,116.860001,786.140015
04-01-2017,757.179993,29.004999,118.690002,786.900024
05-01-2017,780.450012,29.1525,120.669998,794.02002
06-01-2017,795.98999,29.477501,123.410004,806.150024
09-01-2017,796.919983,29.747499,124.900002,806.650024
10-01-2017,795.900024,29.7775,124.349998,804.789978
11-01-2017,799.02002,29.9375,126.089996,807.909973
12-01-2017,813.640015,29.8125,126.620003,806.359985
13-01-2017,817.140015,29.76,128.339996,807.880005
17-01-2017,809.719971,30,127.870003,804.609985
18-01-2017,807.47998,29.997499,127.919998,806.070007
19-01-2017,809.039978,29.945,127.550003,802.174988
20-01-2017,808.330017,30,127.040001,805.02002
23-01-2017,817.880005,30.02,128.929993,819.309998
24-01-2017,822.440002,29.9925,129.369995,823.869995
25-01-2017,836.52002,30.469999,131.479996,835.669983
26-01-2017,839.150024,30.485001,132.779999,832.150024
27-01-2017,835.77002,30.487499,132.179993,823.309998
30-01-2017,830.380005,30.407499,130.979996,802.320007
31-01-2017,823.47998,30.3375,130.320007,796.789978
01-02-2017,832.349976,32.1875,133.229996,795.695007
02-02-2017,839.950012,32.1325,130.839996,798.530029
03-02-2017,810.200012,32.27,130.979996,801.48999
06-02-2017,807.640015,32.572498,132.059998,801.340027
07-02-2017,812.5,32.8825,131.839996,806.969971
08-02-2017,819.710022,33.009998,134.199997,808.380005
09-02-2017,821.359985,33.105,134.139999,809.559998
10-02-2017,827.460022,33.029999,134.190002,813.669983
13-02-2017,836.530029,33.322498,134.050003,819.23999
14-02-2017,836.390015,33.755001,133.850006,820.450012
15-02-2017,842.700012,33.877499,133.440002,818.97998
16-02-2017,844.140015,33.837502,133.839996,824.159973
17-02-2017,845.070007,33.93,133.529999,828.070007
21-02-2017,856.440002,34.174999,133.720001,831.659973
22-02-2017,855.609985,34.2775,136.119995,830.76001
23-02-2017,852.190002,34.1325,135.360001,831.330017
24-02-2017,845.23999,34.165001,135.440002,828.640015
27-02-2017,848.640015,34.232498,136.410004,829.280029
28-02-2017,845.039978,34.247501,135.539993,823.210022
